# 
  X  "inject. rate (SAC Nozzle)[mm^3/s]"
-0.001       0            
0.00293165   330.54       
0.00707349   797.53       
0.0105123    1209.18      
0.014008     1766.59      
0.0175119    2325.29      
0.0210136    2897.87      
0.0245153    3505.41      
0.0280171    4112.95      
0.0315189    4743.77      
0.0350207    5404.98      
0.0385225    6066.19      
0.0420242    6644.03      
0.045526     7161.01      
0.0490278    7677.99      
0.0525296    8147.33      
0.0560314    8598.37      
0.0595331    9049.4       
0.0630349    9431.85      
0.0665367    9803.74      
0.0700385    10175.3      
0.0735403    10512.8      
0.0770421    10850.3      
0.0805438    11184        
0.0840456    11496.9      
0.0875474    11809.7      
0.0910492    12117.1      
0.094551     12412.1      
0.0980527    12707.1      
0.101555     12934.6      
0.105056     13077.4      
0.108558     13220.2      
0.11206      13351.3      
0.115562     13474.1      
0.119063     13596.9      
0.122565     13709.1      
0.126067     13817.6      
0.129569     13926        
0.133071     14025.3      
0.136572     14123.4      
0.140074     14221.2      
0.143576     14311.6      
0.147078     14402        
0.150579     14491.4      
0.154081     14576        
0.157583     14660.7      
0.161085     14744        
0.164587     14824.3      
0.168088     14904.7      
0.17159      14983.5      
0.175092     15060.5      
0.178594     15137.5      
0.182096     15213        
0.185597     15287.4      
0.189099     15361.8      
0.192601     15434.8      
0.196103     15507.2      
0.199604     15579.6      
0.203106     15650.6      
0.206608     15721.4      
0.21011      15792.1      
0.213612     15861.6      
0.217113     15931.1      
0.220615     16000.4      
0.224117     16068.9      
0.227619     16137.4      
0.23112      16205.6      
0.234622     16273.2      
0.238124     16340.9      
0.241626     16408.1      
0.245128     16475        
0.248629     16541.8      
0.252131     16571.2      
0.255631     16576.5      
0.259131     16581.8      
0.262631     16586.5      
0.266131     16591.1      
0.269631     16595.6      
0.273131     16599.5      
0.276631     16603.3      
0.280131     16607.2      
0.283631     16610.6      
0.287131     16614        
0.290631     16617.3      
0.294131     16620.2      
0.297631     16623.1      
0.301131     16625        
0.304631     16625        
0.308131     16625        
0.311631     16625        
0.315131     16625        
0.318631     16625        
0.322131     16625        
0.325631     16625        
0.329131     16625        
0.332631     16625        
0.336131     16625        
0.339631     16625        
0.343131     16625        
0.346631     16625        
0.350131     16625        

